Song, Low, Mid, High, Total, RMS
Synthwave _ Akura - Night Ride (152kbit_Opus).mp3,3.411,4.06,4.059,11.530000000000001,-13.96
SynthWAVE _ Antlatis Ocean - Neon (152kbit_Opus).mp3,2.098,1.807,1.793,5.6979999999999995,-14.71
Synthwave _ Atrey - That Kind of Romance (152kbit_Opus).mp3,4.057,2.62,1.27,7.947000000000001,-13.43
Synthwave _ Barnard - Broken ft. Sarah Godden (128kbit_AAC).mp3,2.768,2.979,3.291,9.038,-14.32
Synthwave _ d.notive - Fury [Funky Way Release] (152kbit_Opus).mp3,2.989,2.787,3.102,8.878,-13.18
Synthwave _ Dilemmachine - Fred (128kbit_AAC).mp3,2.043,1.989,1.654,5.686,-15.2
Synthwave _ Efilheim - Mechanical Depression (152kbit_Opus).mp3,1.5,1.609,1.421,4.53,-14.95
Synthwave _ Fear of Tigers & Stavros Peppermint - If I Were King (152kbit_Opus).mp3,1.71,2.006,2.567,6.2829999999999995,-18.67
Synthwave _ Fear of Tigers - Dream of Love [Funky Panda Exclusive] (128kbit_AAC).mp3,3.261,3.256,3.302,9.818999999999999,-15.31
SynthWAVE _ FM-84 - Neon Sunrise (152kbit_Opus).mp3,1.77,2.501,2.494,6.765000000000001,-13.72
Synthwave _ Francci -  Victorious feat. Anton Vic (128kbit_AAC).mp3,2.0,2.938,2.932,7.870000000000001,-14.26
Synthwave _ Futurecop! - Atlantis 1997 feat. Cavaliers of Fun (128kbit_AAC).mp3,2.949,2.125,2.404,7.478,-13.39
Synthwave _ Futurecop! - Karate (feat. Flashworx) (152kbit_Opus).mp3,2.319,1.661,1.658,5.638,-15.77
Synthwave _ Highway Superstar - Dream Diary (ft. Honey Colonna) (152kbit_Opus).mp3,2.407,1.431,1.459,5.297000000000001,-18.04
Synthwave _ JEDDI - Future Sight (152kbit_Opus).mp3,3.588,2.018,2.22,7.8260000000000005,-14.63
Synthwave _ Majestique - Tonight (152kbit_Opus).mp3,1.692,2.454,2.27,6.416,-14.55
Synthwave _ Matua&Bergau - Mio, my Mio [Funky Way Release] (152kbit_Opus).mp3,3.065,2.561,2.669,8.295,-13.8
SynthWAVE _ Michael Elliot - Don't You Wanna (152kbit_Opus).mp3,3.218,2.364,2.398,7.98,-15.8
Synthwave _ NIKY NINE - Deadchrome (128kbit_AAC).mp3,2.716,2.309,1.785,6.8100000000000005,-13.79
Synthwave _ Paul Hadame - Flash Car (152kbit_Opus).mp3,2.517,2.625,2.594,7.735999999999999,-14.1
Synthwave _ ROY - Immerse [Funky Way Release] (128kbit_AAC).mp3,4.886,4.399,4.21,13.495000000000001,-13.29
Synthwave _ Scavenger Hunt - Never Enough (The Midnight Remix) (128kbit_AAC).mp3,2.732,1.769,1.888,6.389,-16.81
Synthwave _ Scutheotaku - Supa Robotto (152kbit_Opus).mp3,3.271,2.174,2.21,7.655,-17.38
Synthwave _ Shyguys - Pursuit (152kbit_Opus).mp3,3.117,2.334,2.369,7.82,-14.33
Synthwave _ Shyguys - Speed (152kbit_Opus).mp3,3.176,1.906,1.921,7.003,-15.26
Synthwave _ SLANGER - On Our Way (152kbit_Opus).mp3,1.914,1.276,1.348,4.538,-15.97
SynthWAVE _ Slanger - Young Blood [Exclusive Premiere] (152kbit_Opus).mp3,1.473,1.161,1.157,3.7910000000000004,-16.79
Synthwave _ Swagbot - Dreams Come True (152kbit_Opus).mp3,3.669,5.287,5.365,14.321,-10.67
Synthwave _ The Neon Syndicate - Friday (152kbit_Opus).mp3,2.392,2.968,2.914,8.274,-16.48
Synthwave _ Tits & Clits - Your Love (152kbit_Opus).mp3,1.527,1.092,1.391,4.01,-16.98
SynthWave _ Tokyo Wanderer - Heartbreak (128kbit_AAC).mp3,0.508,0.863,0.651,2.0220000000000002,-12.78
Synthwave _ Vincenzo Salvia - Night Signs (152kbit_Opus).mp3,2.566,3.431,3.695,9.692,-12.23
Synthwave _ XEROX BIOPUNK ゼロックスバイオパンク - Supersonic 超音速 (128kbit_AAC).mp3,2.219,1.496,1.433,5.148,-17.12
Synthwave _ Z6B3R - Figure 8 (152kbit_Opus).mp3,2.4,1.963,2.477,6.84,-13.83
Talisco - Your Wish (J.A.C.K Remix) (152kbit_Opus).mp3,3.085,2.4,2.487,7.9719999999999995,-13.52
Talking Coffee - Drums and Stuff EP Mini Mix [Funky Way release] (128kbit_AAC).mp3,1.215,0.978,0.994,3.1870000000000003,-19.68
Techno _ Gosize - Pump It Techno (128kbit_AAC).mp3,4.963,2.845,2.883,10.690999999999999,-14.07
The Elenoar Compilation _ Mixed by Francophilippe (152kbit_Opus).mp3,0.493,0.356,0.405,1.254,-18.05
The Hair Kid - Synthesizers (Msystem Remix) (128kbit_AAC).mp3,2.653,2.715,2.805,8.173,-14.6
The Signals - Signals vs. The Noise (152kbit_Opus).mp3,2.928,4.416,4.655,11.999,-12.42
Thomas Hayes ft Kyler England - Golden (Official Lyric Video) (128kbit_AAC).mp3,4.718,4.067,4.094,12.879000000000001,-13.37
TiTAN - Tax Free Sax (128kbit_AAC).mp3,2.107,1.833,1.796,5.736000000000001,-15.89
Toxo - Need Your Love (128kbit_AAC).mp3,2.642,2.205,2.675,7.521999999999999,-13.59
Trip Hop _ Cloudchord & Soul Food Horns - Bopatron (152kbit_Opus).mp3,3.53,2.265,2.635,8.43,-15.21
Turbo - Funk _ RESET! - Milano a Mano Armata (128kbit_AAC).mp3,4.019,2.745,2.787,9.551,-12.15
Turbo - Funk _ Stupid Beats - When We Are Not Together (Revolvers Of Porno Remix) (128kbit_AAC).mp3,6.879,5.291,5.353,17.523,-10.65
Turbo Funk _ Speaker Bomb & Birdee  - Rock The Show (128kbit_AAC).mp3,2.705,1.298,1.566,5.569,-13.74
Turbofunk _ Speaker Bomb Feat. Mrpnkrs - Get Up (128kbit_AAC).mp3,7.75,6.088,6.096,19.934,-10.31
Umberto Lumber - Summer Touch (Official Music Video) (128kbit_AAC).mp3,1.6,1.0,0.525,3.125,-17.91
Vapor Wave _ P r o g r a m - Fuck That Get Money (128kbit_AAC).mp3,2.203,1.353,1.33,4.886,-18.18
Vaporwave _ don.a.a.ron - 2AM (Your Time Is Up) (128kbit_AAC).mp3,1.24,1.655,1.008,3.903,-16.79
Vaporwave _ 幽霊, T O G E T H E R! - So Smooth (128kbit_AAC).mp3,1.583,0.843,0.865,3.2910000000000004,-20.41
Viciousi - Rollo Vice (Dj EQ Remix) (128kbit_AAC).mp3,8.964,5.101,5.168,19.233,-11.74
Viciousi - Rollo Vice (JNL Remix) (152kbit_Opus).mp3,2.48,1.884,2.068,6.432,-15.14
William - My Groovy Selecta (Live Launchpad Mashup) (128kbit_AAC).mp3,2.898,2.917,3.03,8.844999999999999,-16.3
William - My Juicy Selecta (Studio Mashup) (152kbit_Opus).mp3,2.856,3.217,3.286,9.359,-13.42
